id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,custom_label_0,custom_label_1,custom_label_2
AR-0001,AR-0001 · Área comercial na entrada de Gravatá 29ha,"Oportunidade comercial em localização privilegiada. Área comercial em Gravatá. 💰 R$ 29.000.000. Agende sua visita e venha se encantar! 📲

Código AR-0001 · Angelo Rabêlo, Corretor CRECI-PE 9560 · WhatsApp (81) 99383-7490",in stock,new,29000000.00 BRL,https://www.angelorabeloimoveis.com.br/imovel/AR-0001/?utm_source=whatsapp&utm_medium=catalogo&utm_campaign=AR-0001,https://www.angelorabeloimoveis.com.br/catalogo/img/AR-0001.jpg,https://www.angelorabeloimoveis.com.br/assets/imoveis/og/AR-0001.jpg,Rabêlo Imóveis,Área comercial,Gravatá,Venda
AR-0002,AR-0002 · Casa em condomínio de Alto Padrão Gravatá-PE,"Conforto, elegância e localização — tudo em um só imóvel. 🏡 4 quartos (3 suítes), 2 banheiros, 8 vagas, 2000 m². 💰 R$ 1.800.000. Chama no WhatsApp e realize esse sonho. 🤝

Código AR-0002 · Angelo Rabêlo, Corretor CRECI-PE 9560 · WhatsApp (81) 99383-7490",in stock,new,1800000.00 BRL,https://www.angelorabeloimoveis.com.br/imovel/AR-0002/?utm_source=whatsapp&utm_medium=catalogo&utm_campaign=AR-0002,https://www.angelorabeloimoveis.com.br/catalogo/img/AR-0002.jpg,https://www.angelorabeloimoveis.com.br/assets/imoveis/og/AR-0002.jpg,Rabêlo Imóveis,Casa em condomínio,Gravatá,Venda
AR-0003,AR-0003 · Casa em condomínio em Gravatá,"Seu novo endereço de alto padrão em Gravatá! ✨ 6 banheiros, 4 vagas, 1000 m². 💰 R$ 800.000. Agende sua visita e venha se encantar! 📲

Código AR-0003 · Angelo Rabêlo, Corretor CRECI-PE 9560 · WhatsApp (81) 99383-7490",in stock,new,800000.00 BRL,https://www.angelorabeloimoveis.com.br/imovel/AR-0003/?utm_source=whatsapp&utm_medium=catalogo&utm_campaign=AR-0003,https://www.angelorabeloimoveis.com.br/catalogo/img/AR-0003.jpg,https://www.angelorabeloimoveis.com.br/assets/imoveis/og/AR-0003.jpg,Rabêlo Imóveis,Casa em condomínio,Gravatá,"Venda, Aluguel"
AR-0005,"AR-0005 · Casa fora de condomínio em Novo horizonte, Gravatá","Conforto, elegância e localização — tudo em um só imóvel. 🏡 2 quartos (2 suítes), 1 banheiros, 2 vagas, 140 m². 💰 R$ 550.000. Chama no WhatsApp e realize esse sonho. 🤝

Código AR-0005 · Angelo Rabêlo, Corretor CRECI-PE 9560 · WhatsApp (81) 99383-7490",in stock,new,550000.00 BRL,https://www.angelorabeloimoveis.com.br/imovel/AR-0005/?utm_source=whatsapp&utm_medium=catalogo&utm_campaign=AR-0005,https://www.angelorabeloimoveis.com.br/catalogo/img/AR-0005.jpg,https://www.angelorabeloimoveis.com.br/assets/imoveis/og/AR-0005.jpg,Rabêlo Imóveis,Casa fora de condomínio,Gravatá,Venda
AR-0006,AR-0006 · EXCELENTE HARAS COM 4.28HA AS MARGENS DA BR 232 EM GRAVATÁ,"Uma verdadeira joia rural no coração do Agreste! 🌿 Haras em Gravatá. 💰 R$ 2.200.000. Chama no WhatsApp e realize esse sonho. 🤝

Código AR-0006 · Angelo Rabêlo, Corretor CRECI-PE 9560 · WhatsApp (81) 99383-7490",in stock,new,2200000.00 BRL,https://www.angelorabeloimoveis.com.br/imovel/AR-0006/?utm_source=whatsapp&utm_medium=catalogo&utm_campaign=AR-0006,https://www.angelorabeloimoveis.com.br/catalogo/img/AR-0006.jpg,https://www.angelorabeloimoveis.com.br/assets/imoveis/og/AR-0006.jpg,Rabêlo Imóveis,Haras,Gravatá,Venda
AR-0007,AR-0007 · Excelente área de 2.7ha na BR232,"Ponto estratégico para o seu negócio decolar! 📈 Área comercial em Sairé. 💰 R$ 2.200.000. Agende sua visita e venha se encantar! 📲

Código AR-0007 · Angelo Rabêlo, Corretor CRECI-PE 9560 · WhatsApp (81) 99383-7490",in stock,new,2200000.00 BRL,https://www.angelorabeloimoveis.com.br/imovel/AR-0007/?utm_source=whatsapp&utm_medium=catalogo&utm_campaign=AR-0007,https://www.angelorabeloimoveis.com.br/catalogo/img/AR-0007.jpg,https://www.angelorabeloimoveis.com.br/assets/imoveis/og/AR-0007.jpg,Rabêlo Imóveis,Área comercial,Sairé,Venda
AR-0008,AR-0008 · Fazenda 230 ha Caroalina - Sertânia-PE,"Uma verdadeira joia rural no coração do Agreste! 🌿 Fazenda em Sertânia. 💰 R$ 1.500.000. Fale comigo agora e garanta essa oportunidade! 🔑

Código AR-0008 · Angelo Rabêlo, Corretor CRECI-PE 9560 · WhatsApp (81) 99383-7490",in stock,new,1500000.00 BRL,https://www.angelorabeloimoveis.com.br/imovel/AR-0008/?utm_source=whatsapp&utm_medium=catalogo&utm_campaign=AR-0008,https://www.angelorabeloimoveis.com.br/catalogo/img/AR-0008.jpg,https://www.angelorabeloimoveis.com.br/assets/imoveis/og/AR-0008.jpg,Rabêlo Imóveis,Fazenda,Sertânia,Venda
AR-0009,AR-0009 · Sítio 8 ha à Venda em Sairé/PE,"O sonho de ter seu pedaço de campo começa aqui. 🌾 Sítio em Sairé. 💰 R$ 1.750.000. Agende sua visita e venha se encantar! 📲

Código AR-0009 · Angelo Rabêlo, Corretor CRECI-PE 9560 · WhatsApp (81) 99383-7490",in stock,new,1750000.00 BRL,https://www.angelorabeloimoveis.com.br/imovel/AR-0009/?utm_source=whatsapp&utm_medium=catalogo&utm_campaign=AR-0009,https://www.angelorabeloimoveis.com.br/catalogo/img/AR-0009.jpg,https://www.angelorabeloimoveis.com.br/assets/imoveis/og/AR-0009.jpg,Rabêlo Imóveis,Sítio,Sairé,Venda
AR-0010,AR-0010 · Casa em Condomínio 4 quartos à Venda em Gravatá/PE,"Seu novo endereço de alto padrão em Gravatá! ✨ 4 quartos (3 suítes), 1 vagas. 💰 R$ 980.000. Agende sua visita e venha se encantar! 📲

Código AR-0010 · Angelo Rabêlo, Corretor CRECI-PE 9560 · WhatsApp (81) 99383-7490",in stock,new,980000.00 BRL,https://www.angelorabeloimoveis.com.br/imovel/AR-0010/?utm_source=whatsapp&utm_medium=catalogo&utm_campaign=AR-0010,https://www.angelorabeloimoveis.com.br/catalogo/img/AR-0010.jpg,https://www.angelorabeloimoveis.com.br/assets/imoveis/og/AR-0010.jpg,Rabêlo Imóveis,Casa em condomínio,Gravatá,Venda
AR-0011,AR-0011 · Fazenda 50 ha à Venda em Mandacarú/PE,"Natureza, espaço e tranquilidade num só lugar. Fazenda em Mandacarú. 💰 R$ 3.500.000. Fale comigo agora e garanta essa oportunidade! 🔑

Código AR-0011 · Angelo Rabêlo, Corretor CRECI-PE 9560 · WhatsApp (81) 99383-7490",in stock,new,3500000.00 BRL,https://www.angelorabeloimoveis.com.br/imovel/AR-0011/?utm_source=whatsapp&utm_medium=catalogo&utm_campaign=AR-0011,https://www.angelorabeloimoveis.com.br/catalogo/img/AR-0011.jpg,https://www.angelorabeloimoveis.com.br/assets/imoveis/og/AR-0011.jpg,Rabêlo Imóveis,Fazenda,Gravatá,Venda
AR-0012,AR-0012 · Casa em Condomínio à Venda em Gravatá/PE,"Seu novo endereço de alto padrão em Gravatá! ✨ 💰 R$ 1.500.000. Chama no WhatsApp e realize esse sonho. 🤝

Código AR-0012 · Angelo Rabêlo, Corretor CRECI-PE 9560 · WhatsApp (81) 99383-7490",in stock,new,1500000.00 BRL,https://www.angelorabeloimoveis.com.br/imovel/AR-0012/?utm_source=whatsapp&utm_medium=catalogo&utm_campaign=AR-0012,https://www.angelorabeloimoveis.com.br/catalogo/img/AR-0012.jpg,https://www.angelorabeloimoveis.com.br/assets/imoveis/og/AR-0012.jpg,Rabêlo Imóveis,Casa em condomínio,Gravatá,Venda
AR-0013,AR-0013 · Chácara 4 ha à Venda em Gravatá/PE,"Uma verdadeira joia rural no coração do Agreste! 🌿 Chácara em Gravatá. 💰 R$ 3.800.000. Agende sua visita e venha se encantar! 📲

Código AR-0013 · Angelo Rabêlo, Corretor CRECI-PE 9560 · WhatsApp (81) 99383-7490",in stock,new,3800000.00 BRL,https://www.angelorabeloimoveis.com.br/imovel/AR-0013/?utm_source=whatsapp&utm_medium=catalogo&utm_campaign=AR-0013,https://www.angelorabeloimoveis.com.br/catalogo/img/AR-0013.jpg,https://www.angelorabeloimoveis.com.br/assets/imoveis/og/AR-0013.jpg,Rabêlo Imóveis,Chácara,Gravatá,Venda
